AXID/2425/2418,Axelon Industries,MEP Works,Supply Of Shilled Cable,,01-07-2025 00:00,Bill Verified by RIL,156000,28080,184080,184080.1
AXID/2324/2583,Axelon Industries,MEP Works,Supply of 2 corex2.5mm Industrial Flexible Cable-Black,,11-02-2023 00:00,Bill Verified by RIL,500,-,500,500
PI/MK/02,VINSHEK PRIVATE LIMITED,MEP Works,Metal Switch Socket,,26-12-2024,Bill Verified by RIL,2784994,501298.92,3286292.92,3286292.92
PI/GJ/021/24-25,Actis Technologies Pvt Ltd,MEP Works,Boss Speaker Grill Supply,,14-12-2024,Bill Verified by RIL,300210,54037.8,354247.8,354247.8
SV792/24-25,S V Enterprise,MEP Works,AC Installtion & Service Work,,01-02-2025 00:00,Bill Verified by RIL,45020,8103.6,53123.6,53123.6
SV/23-24/022,S V Enterprise,MEP Works,Installation of AC Units,,27-02-2024,Bill Verified by RIL,90130,-,90130,90130
4,Shiv Corporation,MEP Works,Supply of Light,,12-12-2024 00:00,Bill Verified by RIL,188900,34002,222902,222902
SEIV/24-25/00003,Bombay Electrical project Supllies Pvt Ltd,MEP Works,Reinstallation of light,,23-05-2024,Bill Verified by RIL,327080,58874.4,385954.4,385954.4
SI/23-24/00326,Bombay Electrical project Supllies Pvt Ltd,MEP Works,Decorative Light Installation Charge,,23-02-2024,Bill Verified by RIL,954702,171846.36,1126548.36,1126548.36
SEIV/23-24/0041,Bombay Electrical project Supllies Pvt Ltd,MEP Works,Decorative Light Installation Charge,,29-03-2024,Bill Verified by RIL,1513250,272385,1785635,1785635
SEIV/24-25/00002,Bombay Electrical project Supllies Pvt Ltd,MEP Works,Decorative light Installation Works,,23-05-2024,Bill Verified by RIL,510000,91800,601800,601800
SEIV/24-25/00005,Bombay Electrical project Supllies Pvt Ltd,MEP Works,Decorative light Installation Works,,29-05-2024,Bill Verified by RIL,1250500,225090,1475590,1475590
PIECO/2324/30,PIECO,MEP Works,SITC Of Ele. Temporary Work,,01-03-2024 00:00,Bill Verified by RIL,1377940,248029.2,1625969.2,1625969.2
PI-13/24-25,Euinet Security System,MEP Works,SITC Of ELV System,,18-11-2024,Bill Verified by RIL,303333,54599.94,357932.94,357932.94
UP24251749,Techart India Pvt Ltd,MEP Works,SITC of BMS Work,,24-01-2025,Bill Verified by RIL,1977277,355909.86,2333186.86,2333186.86
23/24-271,DWARKADHISH BUILDING MATERIALS,MEP Works,Supply of plumbing material,,25-10-2023,Bill Verified by RIL,13195,2375.1,15570.1,15570.1
23/24-234,DWARKADHISH BUILDING MATERIALS,MEP Works,Supply of plumbing material,,27-09-2023,Bill Verified by RIL,5043.36,907.8,5951.16,5951.16
AEE/24/G/2656,ASCENT Electrification engineers,MEP Works,Supply of Ele. Manpower,,20-02-2024,Bill Verified by RIL,1176630,211793.4,1388423.4,1388423.4
SKE/BGJ/PI/02,Shree Khodiyar Engineers (India) Pvt Ltd,MEP Works,Plumbing works,,18-12-2023,Bill Verified by RIL,5413647,974456.46,6388103.46,6388103.46
SKE/BGJ/PI/03,Shree Khodiyar Engineers (India) Pvt Ltd,MEP Works,Plumbing works,,01-10-2023 00:00,Bill Verified by RIL,9120173,1641631.14,10761804.14,10761804.14
881/2023-24,Atlas Ceramics,MEP Works,Supply of Sanitaryware,,30-09-2023,Bill Verified by RIL,3030280,545450.4,3575730.4,3575730.4
1001/2023-24,Atlas Ceramics,MEP Works,Supply of Sanitaryware,,23-10-2023,Bill Verified by RIL,904926,162886.68,1067812.68,1067812.68
1358/2023-24,Atlas Ceramics,MEP Works,Supply of Sanitaryware,,30-12-2023,Bill Verified by RIL,7280,1310.4,8590.4,8590.4
GJ00454/23-24,Actis Technologies Pvt Ltd,MEP Works,Automation Works,,01-01-2024 00:00,Bill Verified by RIL,11944682,2150042.76,14094724.76,14094724.76
GJ00499/23-24,Actis Technologies Pvt Ltd,MEP Works,Automation Works,,02-01-2024 00:00,Bill Verified by RIL,400000,72000,472000,472000
GJ00536/23-24,Actis Technologies Pvt Ltd,MEP Works,Automation Works,,02-02-2024 00:00,Bill Verified by RIL,1022540,184057.2,1206597.2,1206597.2
GJ00542/23-24,Actis Technologies Pvt Ltd,MEP Works,Automation Works,,02-08-2024 00:00,Bill Verified by RIL,100000,18000,118000,118000
GJ00549/23-24,Actis Technologies Pvt Ltd,MEP Works,Automation Works,,02-12-2024 00:00,Bill Verified by RIL,102000,18360,120360,120360
GJ00589/23-24,Actis Technologies Pvt Ltd,MEP Works,Automation Works,,27-02-2024,Bill Verified by RIL,139582,25124.76,164706.76,164706.76
GJ00601/23-24,Actis Technologies Pvt Ltd,MEP Works,Automation Works,,29-02-2024,Bill Verified by RIL,83120,14961.6,98081.6,98081.6
GJ00143/23-24,Actis Technologies Pvt Ltd,MEP Works,Automation Works,,07-04-2024 00:00,Bill Verified by RIL,255000,45900,300900,300900
GJ/NE/24000738,OTIS,Elevators,Components Of Lifts,,26-09-2024,Bill Verified by RIL,790000,142200,932200,932200
GJ/NE/24000737,OTIS,Elevators,Components Of Lifts,,26-09-2024,Bill Verified by RIL,790000,142200,932200,932200
GJ/NE/23001425,OTIS,Elevators,SITC Elevators Works,,15-01-2024,Bill Verified by RIL,9640000,-,9640000,9640000
JKS/PI/BG/24017,JKS,Kitchen,Kitchen,,21-10-2024,Bill Verified by RIL,1637799,294803.82,1932602.82,1932602.82
E2/11/2023-24,Ederra Infra,Pool waterbody plant,Swimming pool and waterbody,,11-03-2023 00:00,Bill Verified by RIL,159039.8,28627.16,187666.96,187666.96
